trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.1, 'e': 0.9704455335485082}",25,0,-186.82950402940202,"{0: 12, 1: 4, 2: 4, 3: 3, 4: 2}",0
62,False,"{'a': 0.1, 'e': 0.9699604320672105}",25,0,-160.99729634549283,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
63,False,"{'a': 0.1, 'e': 0.9694755730760259}",20,0,-64.45900109456744,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
64,False,"{'a': 0.1, 'e': 0.9689909564537397}",20,0,-74.52482250717014,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
65,False,"{'a': 0.1, 'e': 0.9685065820791976}",20,0,-122.16453242183593,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
66,False,"{'a': 0.1, 'e': 0.968022449831306}",25,0,-96.78901279607479,"{0: 13, 1: 1, 2: 11, 3: 0, 4: 0}",0
67,False,"{'a': 0.1, 'e': 0.967538559589032}",20,0,-141.8008165268328,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
68,False,"{'a': 0.1, 'e': 0.9670549112314029}",35,0,-100.1384819012525,"{0: 21, 1: 5, 2: 8, 3: 1, 4: 0}",0
69,False,"{'a': 0.1, 'e': 0.9665715046375066}",25,0,-151.2841630155918,"{0: 12, 1: 5, 2: 4, 3: 3, 4: 1}",0
70,False,"{'a': 0.1, 'e': 0.9660883396864915}",25,0,-143.14634900355662,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
71,False,"{'a': 0.1, 'e': 0.9656054162575665}",25,0,-164.5899303725654,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
72,False,"{'a': 0.1, 'e': 0.9651227342300005}",30,2,-141.12196260132075,"{0: 16, 1: 5, 2: 5, 3: 0, 4: 2}",1
73,False,"{'a': 0.1, 'e': 0.9646402934831231}",25,10,-19.933779965539312,"{0: 11, 1: 3, 2: 0, 3: 1, 4: 0}",1
74,False,"{'a': 0.1, 'e': 0.964158093896324}",30,15,-57.17936069966172,"{0: 10, 1: 3, 2: 0, 3: 1, 4: 1}",1
75,False,"{'a': 0.1, 'e': 0.9636761353490535}",20,0,-109.04728331670873,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
76,False,"{'a': 0.1, 'e': 0.9631944177208218}",20,0,-216.40317789977814,"{0: 9, 1: 3, 2: 1, 3: 4, 4: 3}",0
77,False,"{'a': 0.1, 'e': 0.9627129408911995}",25,0,-267.54547568791304,"{0: 11, 1: 2, 2: 5, 3: 3, 4: 4}",0
78,False,"{'a': 0.1, 'e': 0.9622317047398176}",20,0,-58.384663637551,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
79,False,"{'a': 0.1, 'e': 0.9617507091463667}",25,5,-136.600721543458,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",1
80,False,"{'a': 0.1, 'e': 0.9612699539905982}",20,0,-137.49326662190379,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
81,False,"{'a': 0.1, 'e': 0.9607894391523232}",25,0,-110.42270002530765,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
82,False,"{'a': 0.1, 'e': 0.960309164511413}",30,0,-121.23370082163534,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
83,False,"{'a': 0.1, 'e': 0.9598291299477989}",20,0,-62.85043980074873,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
84,False,"{'a': 0.1, 'e': 0.9593493353414723}",25,0,-81.02775800955443,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",0
85,False,"{'a': 0.1, 'e': 0.9588697805724845}",25,0,-103.03934408279258,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
86,False,"{'a': 0.1, 'e': 0.958390465520947}",25,0,-112.5952894546342,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
87,False,"{'a': 0.1, 'e': 0.9579113900670306}",25,0,-146.97567513555765,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
88,False,"{'a': 0.1, 'e': 0.957432554090967}",20,0,-153.52317113669082,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
89,False,"{'a': 0.1, 'e': 0.9569539574730467}",20,0,-188.0611256749442,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
90,False,"{'a': 0.1, 'e': 0.9564756000936208}",25,12,-31.466401018815006,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
91,False,"{'a': 0.1, 'e': 0.9559974818331}",25,0,-128.04997762696496,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
92,False,"{'a': 0.1, 'e': 0.9555196025719545}",30,0,-148.36050578277553,"{0: 19, 1: 7, 2: 0, 3: 1, 4: 3}",0
93,False,"{'a': 0.1, 'e': 0.9550419621907147}",20,0,-61.95172793348454,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
94,False,"{'a': 0.1, 'e': 0.9545645605699703}",25,0,-119.20981297308902,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
95,False,"{'a': 0.1, 'e': 0.9540873975903711}",20,0,-166.87402800874966,"{0: 7, 1: 4, 2: 5, 3: 3, 4: 1}",0
96,False,"{'a': 0.1, 'e': 0.9536104731326264}",20,5,-72.56932452183243,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
97,False,"{'a': 0.1, 'e': 0.9531337870775047}",35,0,-173.40472554317992,"{0: 20, 1: 3, 2: 10, 3: 0, 4: 2}",0
98,False,"{'a': 0.1, 'e': 0.9526573393058348}",25,0,-126.13655821391418,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
99,False,"{'a': 0.1, 'e': 0.9521811296985049}",25,0,-71.54746733630077,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
100,False,"{'a': 0.1, 'e': 0.9517051581364622}",25,0,-84.28432622617547,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
101,False,"{'a': 0.1, 'e': 0.951229424500714}",25,0,-115.26023492268497,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
102,False,"{'a': 0.1, 'e': 0.9507539286723269}",20,0,-112.61328432124311,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
103,False,"{'a': 0.1, 'e': 0.950278670532427}",25,0,-69.28917714628236,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
104,False,"{'a': 0.1, 'e': 0.9498036499621996}",20,0,-128.38955651501567,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
105,False,"{'a': 0.1, 'e': 0.9493288668428895}",20,0,-172.14069796437997,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
106,False,"{'a': 0.1, 'e': 0.9488543210558013}",25,0,-231.2683866866985,"{0: 11, 1: 2, 2: 6, 3: 3, 4: 3}",0
107,False,"{'a': 0.1, 'e': 0.9483800124822982}",25,0,-87.05779614191256,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
108,False,"{'a': 0.1, 'e': 0.9479059410038031}",20,0,-65.3809777636485,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
109,False,"{'a': 0.1, 'e': 0.9474321065017983}",20,0,-83.10221508457927,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
110,False,"{'a': 0.1, 'e': 0.9469585088578251}",20,0,-69.67340427211177,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
111,False,"{'a': 0.1, 'e': 0.9464851479534838}",25,0,-177.1612674544617,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
112,False,"{'a': 0.1, 'e': 0.9460120236704347}",30,0,-150.72236982576467,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
113,False,"{'a': 0.1, 'e': 0.9455391358903963}",25,0,-104.2575613209305,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
114,False,"{'a': 0.1, 'e': 0.9450664844951467}",20,0,-54.318681893788835,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
115,False,"{'a': 0.1, 'e': 0.9445940693665233}",25,0,-148.31636822790676,"{0: 11, 1: 6, 2: 5, 3: 2, 4: 1}",0
116,False,"{'a': 0.1, 'e': 0.9441218903864221}",25,0,-121.05987807200056,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
117,False,"{'a': 0.1, 'e': 0.9436499474367985}",20,0,-65.14333173759057,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
118,False,"{'a': 0.1, 'e': 0.9431782403996666}",25,0,-158.68008578808826,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
119,False,"{'a': 0.1, 'e': 0.9427067691570997}",30,0,-165.43097833760132,"{0: 13, 1: 5, 2: 11, 3: 0, 4: 1}",0
120,False,"{'a': 0.1, 'e': 0.94223553359123}",20,0,-123.14717795750292,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
121,False,"{'a': 0.1, 'e': 0.9417645335842487}",20,0,-109.95062662102113,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
122,False,"{'a': 0.1, 'e': 0.9412937690184057}",30,0,-241.68947687898356,"{0: 15, 1: 2, 2: 7, 3: 3, 4: 3}",0
123,False,"{'a': 0.1, 'e': 0.9408232397760097}",25,0,-200.94446961314398,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
124,False,"{'a': 0.1, 'e': 0.9403529457394286}",20,0,-79.84987278802451,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
125,False,"{'a': 0.1, 'e': 0.9398828867910889}",25,0,-107.96430992551717,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
126,False,"{'a': 0.1, 'e': 0.9394130628134758}",25,0,-138.5397558410125,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
127,False,"{'a': 0.1, 'e': 0.9389434736891332}",25,0,-203.93148468623878,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
128,False,"{'a': 0.1, 'e': 0.938474119300664}",30,0,-157.66725294128614,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
129,False,"{'a': 0.1, 'e': 0.9380049995307295}",20,0,-64.40159462812757,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
130,False,"{'a': 0.1, 'e': 0.9375361142620497}",25,3,-58.11855482237402,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 0}",1
131,False,"{'a': 0.1, 'e': 0.9370674633774034}",25,0,-69.92961147692289,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
132,False,"{'a': 0.1, 'e': 0.9365990467596279}",25,0,-97.75352010130489,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
133,False,"{'a': 0.1, 'e': 0.9361308642916188}",35,0,-182.63423376925357,"{0: 19, 1: 7, 2: 5, 3: 2, 4: 2}",0
134,False,"{'a': 0.1, 'e': 0.9356629158563308}",25,0,-127.46847952980177,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
135,False,"{'a': 0.1, 'e': 0.9351952013367766}",25,0,-224.34005906200244,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
136,False,"{'a': 0.1, 'e': 0.9347277206160275}",20,0,-94.26091599588617,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
137,False,"{'a': 0.1, 'e': 0.9342604735772135}",25,0,-48.53063482987557,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
